B - plate photo shows a serial not on the list (single-unit store),Costco #146,,2026-07-30,1,reported unit 10702123; plate photographed reads M2502943,,588,M2502943,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Costco #661,,2026-07-29,1,reported unit 10702119; plate photographed reads M2503082,,570,M2503082,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Lunardis #9,,2026-07-30,1,reported unit 411409150336; plate photographed reads 8220161006162,,603,8220161006162,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Safeway Northern California #1195,,2026-07-31,1,reported unit 309097; plate photographed reads -,,605,-,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Walmart US #2557,,2026-07-21,1,reported unit 10254960; plate photographed reads 10609651,,454,10609651,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Walmart US #3138,,2026-07-21,1,reported unit 303921; plate photographed reads 10540885,,466,10540885,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Walmart US #5192,,2026-07-15,1,reported unit 9627102; plate photographed reads 10162233,,422,10162233,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Walmart US #5632,,2026-07-22,1,reported unit M125927; plate photographed reads 11200214,,494,11200214,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Costco #148,,2026-08-21,1,reported unit 313204; plate photographed reads M2503097,,607,M2503097,LIKELY UNDERCOUNT - confirm with Freshpet
B - plate photo shows a serial not on the list (single-unit store),Costco #470,,2026-08-24,1,reported unit 10693773; plate photographed reads M2502569,,636,M2502569,LIKELY UNDERCOUNT - confirm with Freshpet
C - plate mismatch at a multi-unit store,Bel-Air #514,,2026-06-25,2,reported unit 10737505; plate photographed reads 9335627,,193,9335627,"CHECK SIBLING UNITS FIRST - may be an internal mix-up, not an undercount"
C - plate mismatch at a multi-unit store,Petco #348,,2026-06-17,3,reported unit 9459537; plate photographed reads 237270,,163,237270,"CHECK SIBLING UNITS FIRST - may be an internal mix-up, not an undercount"
C - plate mismatch at a multi-unit store,PetSmart US #50,,2026-06-26,3,reported unit 281183; plate photographed reads 208789,,237,208789,"CHECK SIBLING UNITS FIRST - may be an internal mix-up, not an undercount"
C - plate mismatch at a multi-unit store,PetSmart US #59,,2026-06-17,2,reported unit 4815328; plate photographed reads 283403,,170,283403,"CHECK SIBLING UNITS FIRST - may be an internal mix-up, not an undercount"
C - plate mismatch at a multi-unit store,Safeway #951,,2026-06-12,2,reported unit 304912; plate photographed reads 304978,,10,304978,"CHECK SIBLING UNITS FIRST - may be an internal mix-up, not an undercount"
C - plate mismatch at a multi-unit store,Food Maxx #499,,2026-07-21,2,reported unit 11022906; plate photographed reads 10546327,,480,10546327,"CHECK SIBLING UNITS FIRST - may be an internal mix-up, not an undercount"
C - plate mismatch at a multi-unit store,Petco #1350,,2026-07-23,3,reported unit 244067; plate photographed reads 197834,,531,197834,"CHECK SIBLING UNITS FIRST - may be an internal mix-up, not an undercount"
C - plate mismatch at a multi-unit store,Petco #1350,,2026-07-23,3,reported unit 197934; plate photographed reads 240067,,530,240067,"CHECK SIBLING UNITS FIRST - may be an internal mix-up, not an undercount"
C - plate mismatch at a multi-unit store,Safeway Northern California #1211,,2026-07-30,2,reported unit 304440; plate photographed reads 276973,,602,276973,"CHECK SIBLING UNITS FIRST - may be an internal mix-up, not an undercount"
